module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal
IGG019FQ	8	3	8	Relocatable displacement in machine instruction (explicit base requires an absolute displacement)	0000				bytes	0x00068	1200	1200	text	as370 alone flags
IGG019HG	8	3	8	Relocatable displacement in machine instruction (explicit base requires an absolute displacement)	0000				cards	0x003a6	1236	1178	length	as370 alone flags
IGG019HN	8	23	8	Relocatable displacement in machine instruction (explicit base requires an absolute displacement)	0000				cards	0x00054	4823	4594	length	as370 alone flags
IGG019R0	8	1551	8	IFO117 first expression in substring notation exceeds the length of the string | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				cards	0x00002	12640	8570	length	both flag
IGG019R6	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes	0x0032d	1160	1160	length	both flag
IGG019RG	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGG019RO	8	7	8	IFO117 first expression in substring notation exceeds the length of the string | Undefined symbol	0012				bytes	0x00000	1194	1194	length	both flag
IGG019RQ	8	1	8	Undefined symbol	0008				identical				text	both flag
IGG0201D	8	13	8	Undefined symbol	0000				bytes				length	as370 alone flags
IGG02030	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGG0203M	8	5	8	Undefined symbol	0000				bytes	0x000b9	1780	1800	length	as370 alone flags
IGG020D0	8	7	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				bytes	0x00006	496	496	text	both flag
IGG020P2	8	9	8	Relocatable displacement in machine instruction (explicit base requires an absolute displacement) | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				bytes	0x0000c	904	904	length	both flag
IGG0299A	8	24	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				bytes	0x00019	1000	1000	length	both flag
IGG0325G	8	9	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				bytes				length	both flag
IGG0325H	8	44	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				bytes				length	both flag
IGG0325U	8	5	8	Undefined symbol	0008				bytes				text	both flag
IGG032I4	8	23	8	Undefined symbol	0008				bytes	0x00005	1064	1064	mixed	both flag
IGG032I6	8	11	8	Undefined symbol	0008				bytes	0x00004	1096	1096	length	both flag
IGG0553C	8	41	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				bytes				length	both flag
IGG09411	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGG0CLCD	8	1	8	Undefined symbol	0000				bytes	0x00023	3483	3483	length	as370 alone flags
IHDGSP01	8	10	8	Undefined symbol	0012				identical				length	both flag
IKJCT431	8	70	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes	0x00064	7232	7232	length	as370 alone flags
IKJCT467	8	93	8	Undefined operation code | Undefined symbol	0012				bytes				length	both flag
IKJEBEIA	8	71	8	Relocatable displacement in machine instruction (explicit base requires an absolute displacement) | Undefined symbol	0008				bytes				no-pair	both flag
IKJEBEME	8	24	8	Undefined symbol	0000				cards	0x00026	1960	1960	no-pair	as370 alone flags
IKJEBEUP	8	2	8	Undefined symbol	0008				bytes				no-pair	both flag
IKJEFA24	8	1	8	This card was consumed as a continuation and the statement on it discarded (IFOX00 does not even warn here; the card's columns 1-15 are blank)	0000				cards	0x00469	1224	1224	no-pair	as370 alone flags
IKJEFH03	8	7	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes				no-pair	as370 alone flags
IKJEFT01	8	6	8	Undefined symbol	0000				bytes				length	as370 alone flags
IKJEGMNL	8	2	8	This card was consumed as a continuation and the statement on it discarded (IFOX00 does not even warn here; the card's columns 1-15 are blank) | Undefined symbol	0008				cards				no-pair	both flag
IKTAY8	8	4	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes	0x0033a	2880	2880	length	as370 alone flags
ILRMSG00	8	8	8	Undefined operation code | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				bytes				mixed	both flag
ILRTMRLG	8	1	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes				mixed	as370 alone flags
ILRVIOCM	8	25	8	Undefined operation code | Undefined symbol	0008				identical				text	both flag
IRARMERR	8	10	8	Undefined symbol	0008				bytes				length	both flag
IRARMEVT	8	26	8	IFO026 Characters appear between the begin and continue columns on a continuation card | Undefined operation code | Undefined symbol	0008				cards	0x00d83	8916	8916	text	both flag
ISDADCS0	8	1	8	Undefined operation code	0008				bytes	0x00022	954	954	length	both flag
ISDAPRT0	8	5	8	Undefined operation code	0008				bytes				mixed	both flag
ISDASUM1	8	2	8	Undefined operation code	0008				bytes				length	both flag
ISTCSCMR	8	1	8	Undefined symbol	0000				bytes				length	as370 alone flags
ISTSDCC1	8	1	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes	0x00132	740	740	mixed	as370 alone flags
ISTZDMMB	8	1	8	Undefined symbol	0000				bytes				length	as370 alone flags
ISTZGF0A	8	143	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes				length	as370 alone flags
SECLOADA	8	76	8	Undefined operation code | Undefined symbol	0000				cards				length	as370 alone flags
